Title,Accession ID,Description,GEO
A host-dependent transcriptional response correlates with Dengue virus infection rate in healthy humans.,PRJNA436639;,"Dengue virus (DENV) infection is a major emerging disease in tropical and subtropical countries and the influence of host genetics during early phases of infection remains to be fully elucidated. Here we use dendritic cells (DCs) and macrophages from healthy individuals to establish inter-individual variability in DENV infection and antibody-mediated enhancement (ADE). We show that host-related factors determine the severity of the infection rate both in DENV-infected DCs and macrophages following ADE. We then correlate the inter-individual variability in infection rates with genome-wide transcript abundance measured by RNA sequencing in DCs following DENV infection. We report 190 host-related transcripts in DCs that correlate markedly with infection rates that form an ubiquitin-mediated antiviral network. Furthermore, these transcripts are enriched for glycolysis, which we show is critical for the early phases of infection. Among virus induced transcripts (i.e. significant correlation only after DENV), we identify DUSP10 as the best indicator of the severity of infection. These results indicate the importance of host genetics in shaping the severity of DENV infection rates in DCs and identify novel potential DENV-susceptibility targets.
Overall design: Primary human DCs and macrophages were infected with dengue virus or dengue+antibody against dengue for 6 hours. As a control, cells were treated with medium only (DCs) or anti-prM dengue protein only (macrophages). After incubation time, cells were washed with warm PBS before adding 500 µl TRIzol reagent (Invitrogen) and RNA was isolated.Less...",GSE111330
Gene expression analysis of dengue-infected cells,PRJNA433885;,No description available,GSE110512
Leo1 occupancy in presence of dengue virus NS5,PRJNA433884;,"We use ChIP-seq on PAF1C member Leo1 to determine how PAF1C occupancy at interferon stimulated genes is impacted by dengue virus NS5 protein.
Overall design: Leo1 complex member of PAF1C was subjected to ChIP-seq following interferon beta treatment in cells expressing GFP or dengue virus NS5 protein.Less...",GSE110511
Single cell transcriptional dynamics of flavivirus infection,PRJNA433871;,"Dengue and Zika viral infections affect millions of people annually and can be complicated by hemorrhage or neurological manifestations, respectively. However, a thorough understanding of the host response to these viruses is lacking, partly because conventional approaches ignore heterogeneity in virus abundance across cells. We present viscRNA-Seq (virus-inclusive single cell RNA-Seq), an approach to probe the host transcriptome together with intracellular viral RNA at the single cell level. We applied viscRNA-Seq to monitor dengue and Zika virus infection in cultured cells and discovered extreme heterogeneity in virus abundance. We exploited this variation to identify host factors that show complex dynamics and a high degree of specificity for either virus, including proteins involved in the endoplasmic reticulum translocon, signal peptide processing, and membrane trafficking. We validated the viscRNA-Seq hits and discovered novel proviral and antiviral factors. viscRNA-Seq is a powerful approach to assess the genome-wide virus-host dynamics at single cell level.
Overall design: Dengue and Zika virus huh7 cells were subjected to virus-inclusive single cell RNA-Seq.Less...",GSE110496
An RNA-centric dissection of host complexes controlling flavivirus infection [irCLIP],PRJNA430089;,"Flaviviruses including dengue virus (DENV) and Zika virus (ZIKV) cause significant human disease. Co-opting cellular factors for viral protein translation and viral genome replication at the endoplasmic reticulum (ER) is a shared replication strategy, despite different clinical outcomes. While the protein products of these viruses have been studied in depth, how the RNA genomes operate inside human cells is poorly understood. Using comprehensive identification of RNA binding proteins by mass spectrometry (ChIRP-MS), we took an RNA-centric viewpoint of flaviviral infection and identified several hundred proteins associated with both DENV and ZIKV genomic RNA inside human cells. Intersection with genome-scale knockout screens assigned putative functional relevance to the RNA-protein interactions. ER RNA binding proteins such vigilin and RRBP1 directly bound viral RNA and each operated at distinct points in the life cycle of flaviviruses. Thus, this versatile strategy can elucidate features of human biology that control pathogenesis of clinically relevant viruses.
Overall design: This experiment was designed to determine what RNAs, both human or viral, direct interact with specific host RNA binding proteins. In particular we characterized the RNA-interactome of RRBP1 and vigilin, two host factors we discovered are important for the flaviviral life cycle.Less...",GSE109191
An RNA-centric dissection of host complexes controlling flavivirus infection [RNA-Seq],PRJNA430086;,"Flaviviruses including dengue virus (DENV) and Zika virus (ZIKV) cause significant human disease. Co-opting cellular factors for viral protein translation and viral genome replication at the endoplasmic reticulum (ER) is a shared replication strategy, despite different clinical outcomes. While the protein products of these viruses have been studied in depth, how the RNA genomes operate inside human cells is poorly understood. Using comprehensive identification of RNA binding proteins by mass spectrometry (ChIRP-MS), we took an RNA-centric viewpoint of flaviviral infection and identified several hundred proteins associated with both DENV and ZIKV genomic RNA inside human cells. Intersection with genome-scale knockout screens assigned putative functional relevance to the RNA-protein interactions. ER RNA binding proteins such vigilin and RRBP1 directly bound viral RNA and each operated at distinct points in the life cycle of flaviviruses. Thus, this versatile strategy can elucidate features of human biology that control pathogenesis of clinically relevant viruses.
Overall design: This experiment was designed to measure the expression of non-ribosomal RNAs, including viral genomic RNA, from Huh7.5.1 cells using RNA-seq.Less...",GSE109190
IgG and IgA Immune Repertoires in Dengue Fever,PRJEB13768,"Dengue fever is a mosquito-borne disease that affects nearly four millions of people every year.  Vector control is the main strategy to contain the threat because no effective treatments are available for Dengue viruses.  A new vaccine has recently been developed, but efficacies vary with both viral serotypes and exposure histories to vectors.  Dengue fever is unique in that the most severe presentations of the disease often occur after the initial febrile stage.  A second heterotypic infection is the most dangerous contributing factor for such complications as hemorrhage, plasma leakage, or even circulatory collapse.  Cross-reactive antibodies have been suggested to play aberrant roles in these situations, including the paradoxical enhancement of disease severity.  Recent advances in next-generation sequencing (NGS) have allowed clonal characterization of antibody repertoires.  In this study we used NGS to analyze both IgG and IgA immune repertoires from Dengue patients.  Statistical heuristics efficiently revealed four infection signatures from IgG repertoires, two of which were identical to prior discoveries.  IgA repertoires were found more dissimilar to IgG repertoires among those patients with hemorrhages.  Diversity profiles of IgA repertoires between patients with or without hemorrhages were more distinct than those between IgG repertoires.  Variations of IgA repertoires as summarized by principal component analysis were sufficient to classify patients in accord with the phenotype.  Further analyses revealed seven IgA clusters closely associated with various forms of bleedings in Dengue fever.  In sum, our results not only demonstrated an efficient pipeline to discover infection signatures but also revealed hidden relationships between IgA repertoires and hemorrhages in Dengue fever.Less...",
Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis [bulk RNA-seq],PRJNA417194;,"CD4+ cytotoxic T lymphocytes (CD4-CTLs) have been reported to play a protective role in several viral infections. However, little is known in humans about the biology of CD4-CTL generation, their functional properties, heterogeneity and clonal diversity, especially in relation to other well-described CD4+ memory T cell subsets. We performed single-cell RNA-seq in over 9000 cells to unravel CD4-CTL heterogeneity, transcriptional profile and clonality in humans. The single-cell differential gene expression analysis, revealed a spectrum of known transcripts, including several linked to cytotoxic and co-stimulatory function, and transcripts of unknown cytotoxicity-related function that are expressed at higher levels in the TEMRA subset, which is highly enriched for CD4-CTLs, compared to cells in the central and effector memory subsets (TCM, TEM). Simultaneous T cells antigen receptor (TCR) analysis in single-cells and bulk subsets revealed that CD4-TEMRA cells show marked clonal expansion compared to TCM and TEM cells and that the majority of CD4-TEMRA were dengue virus (DENV)-specific in subjects with previous DENV infection. The profile of CD4-TEMRA was highly heterogeneous across subjects, with four distinct clusters identified by the single-cell analysis. Most importantly, we identified distinct clusters of CD4-CTL effector and precursor cells in the TEMRA subset; the precursor cells shared TCR clonotypes with CD4-CTL effectors and were distinguished by high expression of the interleukin-7 receptor. Our identification of a CD4-CTL precursor population may allow further investigation of how CD4-CTLs arise in humans and thus could provide insights into the mechanisms that may be utilized to generate durable and effective CD4-CTL immunity.
Overall design: Transcriptome  analysis of  purified populations of human CD4 memory cell subsets by bulk RNA-sequencing.Less...",GSE106542
Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis [10X genomics],PRJNA417193;,"CD4+ cytotoxic T lymphocytes (CD4-CTLs) have been reported to play a protective role in several viral infections. However, little is known in humans about the biology of CD4-CTL generation, their functional properties, heterogeneity and clonal diversity, especially in relation to other well-described CD4+ memory T cell subsets. We performed single-cell RNA-seq in over 9000 cells to unravel CD4-CTL heterogeneity, transcriptional profile and clonality in humans. The single-cell differential gene expression analysis, revealed a spectrum of known transcripts, including several linked to cytotoxic and co-stimulatory function, and transcripts of unknown cytotoxicity-related function that are expressed at higher levels in the TEMRA subset, which is highly enriched for CD4-CTLs, compared to cells in the central and effector memory subsets (TCM, TEM). Simultaneous T cells antigen receptor (TCR) analysis in single-cells and bulk subsets revealed that CD4-TEMRA cells show marked clonal expansion compared to TCM and TEM cells and that the majority of CD4-TEMRA were dengue virus (DENV)-specific in subjects with previous DENV infection. The profile of CD4-TEMRA was highly heterogeneous across subjects, with four distinct clusters identified by the single-cell analysis. Most importantly, we identified distinct clusters of CD4-CTL effector and precursor cells in the TEMRA subset; the precursor cells shared TCR clonotypes with CD4-CTL effectors and were distinguished by high expression of the interleukin-7 receptor. Our identification of a CD4-CTL precursor population may allow further investigation of how CD4-CTLs arise in humans and thus could provide insights into the mechanisms that may be utilized to generate durable and effective CD4-CTL immunity.
Overall design: Single cell RNA-seq analysis of  purified populations of human CD4 memory cell subsets by both bulk TCR-sequencing.Less...",GSE106543
Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis [TCRseq],PRJNA417192;,"CD4+ cytotoxic T lymphocytes (CD4-CTLs) have been reported to play a protective role in several viral infections. However, little is known in humans about the biology of CD4-CTL generation, their functional properties, heterogeneity and clonal diversity, especially in relation to other well-described CD4+ memory T cell subsets. We performed single-cell RNA-seq in over 9000 cells to unravel CD4-CTL heterogeneity, transcriptional profile and clonality in humans. The single-cell differential gene expression analysis, revealed a spectrum of known transcripts, including several linked to cytotoxic and co-stimulatory function, and transcripts of unknown cytotoxicity-related function that are expressed at higher levels in the TEMRA subset, which is highly enriched for CD4-CTLs, compared to cells in the central and effector memory subsets (TCM, TEM). Simultaneous T cells antigen receptor (TCR) analysis in single-cells and bulk subsets revealed that CD4-TEMRA cells show marked clonal expansion compared to TCM and TEM cells and that the majority of CD4-TEMRA were dengue virus (DENV)-specific in subjects with previous DENV infection. The profile of CD4-TEMRA was highly heterogeneous across subjects, with four distinct clusters identified by the single-cell analysis. Most importantly, we identified distinct clusters of CD4-CTL effector and precursor cells in the TEMRA subset; the precursor cells shared TCR clonotypes with CD4-CTL effectors and were distinguished by high expression of the interleukin-7 receptor. Our identification of a CD4-CTL precursor population may allow further investigation of how CD4-CTLs arise in humans and thus could provide insights into the mechanisms that may be utilized to generate durable and effective CD4-CTL immunity.
Overall design: TCR analysis of  purified populations of human CD4 memory cell subsets by TCR-sequencing.Less...",GSE106541
Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis [scRNA-seq],PRJNA417191;,"CD4+ cytotoxic T lymphocytes (CD4-CTLs) have been reported to play a protective role in several viral infections. However, little is known in humans about the biology of CD4-CTL generation, their functional properties, heterogeneity and clonal diversity, especially in relation to other well-described CD4+ memory T cell subsets. We performed single-cell RNA-seq in over 9000 cells to unravel CD4-CTL heterogeneity, transcriptional profile and clonality in humans. The single-cell differential gene expression analysis, revealed a spectrum of known transcripts, including several linked to cytotoxic and co-stimulatory function, and transcripts of unknown cytotoxicity-related function that are expressed at higher levels in the TEMRA subset, which is highly enriched for CD4-CTLs, compared to cells in the central and effector memory subsets (TCM, TEM). Simultaneous T cells antigen receptor (TCR) analysis in single-cells and bulk subsets revealed that CD4-TEMRA cells show marked clonal expansion compared to TCM and TEM cells and that the majority of CD4-TEMRA were dengue virus (DENV)-specific in subjects with previous DENV infection. The profile of CD4-TEMRA was highly heterogeneous across subjects, with four distinct clusters identified by the single-cell analysis. Most importantly, we identified distinct clusters of CD4-CTL effector and precursor cells in the TEMRA subset; the precursor cells shared TCR clonotypes with CD4-CTL effectors and were distinguished by high expression of the interleukin-7 receptor. Our identification of a CD4-CTL precursor population may allow further investigation of how CD4-CTLs arise in humans and thus could provide insights into the mechanisms that may be utilized to generate durable and effective CD4-CTL immunity.
Overall design: Transcriptome analysis of  purified populations of human CD4 memory cell subsets by  single-cell RNA-sequencing.Less...",GSE106540
Homo sapiens,PRJNA389702;,No description available,GSE98859
Homo sapiens,PRJNA383117;,"Dengue virus is responsible for 400 million human infections each year . The characterization of exact molecular components of immune response associated may help design more effective therapeutic interventions. In this study, we aimed to characterize the immune signature of  T cells subtypes associated with previous exposure to dengue virus. Transcriptomic profiling using RNA sequencing was performed on naive, TCM, TEM and TEMRA CD4 T cells isolated from individuals with secondary dengue infections from Sri Lanka, an endemic area, as well as from dengue negative healthy controls.
Overall design: RNA-sequencing of sorted CD4 naïve, TCM, TEM and TEMRA T cells from cryopreserved PBMC of 9 subjects with secondary infection infection and 3 dengue virus negative healthy controls.Less...",GSE97861
Homo sapiens,PRJNA383116;,"Dengue virus is responsible for 400 million human infections each year . The characterization of exact molecular components of immune response associated may help design more effective therapeutic interventions. In this study, we aimed to characterize the immune signature of  T cells subtypes associated with previous exposure to dengue virus. Transcriptomic profiling using RNA sequencing was performed on naive, TCM, TEM and TEMRA CD4 T cells isolated from individuals with secondary dengue infections from Sri Lanka, an endemic area, as well as from dengue negative healthy controls.
Overall design: RNA-sequencing of sorted CD4 naïve, TCM, TEM and TEMRA T cells from cryopreserved PBMC of 5 subjects with secondary infection infection and 6 dengue virus negative healthy controls.Less...",GSE97862
Homo sapiens,PRJNA374737;,No description available,GSE94892
Homo sapiens,PRJNA344955;,"Dengue virus is responsible for 400 million human infections each year . The characterization of exact molecular components of immune response associated may help design more effective therapeutic interventions. In this study, we aimed to characterize the immune signature of memory T cells associated with previous exposure to dengue virus. Transcriptomic profiling using RNA sequencing was performed on memory CD4 and CD8 T cells isolated from individuals with primary or secondary dengue infections from two endemic areas (Sri Lanka and Nicaragua), as well as from dengue negative healthy controls.
Overall design: RNA-sequencing of sorted memory CD4 and CD8 T cells from cryopreserved PBMC of 15 subjects with primary dengue infection, 30 subjects with secondary infection infection and 15 dengue virus negative healthy controls.Less...",GSE87505
Homo sapiens,PRJNA329550;,No description available,GSE84536
Homo sapiens isolate:H9 HESCs (WA09),PRJNA328608,"Dengue virus (DENV) infection causes profound changes in the host cells and these changes underlie the immune response-based viral clearance and pathogenesis. There are several major cell/tissue types relevant for DENV pathogenesis in vivo, including immune cells, liver, and vascular endothelial cells. We applied a directed differentiation system that produces hepatocyte-like cells (HLCs) from pluripotent stem cells to investigate various aspects of DENV- hepatic cells interaction. Human embryonic stem cells were resistant to DENV infection while progeny hepatic cells were permissive. The transition to DENV permissiveness coincided with the upregulation of entry factors for the virus. Infection of HLCs by DENV was self-limiting due to the activation of the interferon (IFN) pathways, which protected by-stander cells from infection but failed to induce the same level of interferon-induced genes (ISGs) expression in the infected cells due to the subversion of IFN signaling by DENV. Innate immunity also protected the infected cells from virus-induced apoptosis. Furthermore, DENV infection activated the NF-κB pathway, increased production of reactive oxidative species (ROS), and led to production of inflammatory cytokines which may contribute to the cytokine storm implicated in dengue hemorrhagic fever (DHF). Finally, DENV infection of HLCs resulted several in vitro phenotypes that may have relevance for acute liver failure and vascular permeability during DHF. These include the disruption of adherens junctions and the downregulation of many liver specific genes such as albumin (ALB) and coagulation factor V (F5).Less...",
Homo sapiens,PRJNA328591;,"The goal of this study was to compare the transcriptional profile (RNA-seq) of Dengue virus 2 and mock infected cells at 24 and 36 hours post infection. Dengue virus NS5 protein plays multiple functions in the cytoplasm of infected cells, enabling viral RNA replication and counteracting host antiviral responses.  Here, we demonstrate a novel function of NS5 in the nucleus where it interferes with cellular splicing. Using global proteomic analysis of infected cells together with functional studies, we found that NS5 binds spliceosome complexes and modulates endogenous splicing. In particular, we show that NS5 alone, or in the context of viral infection, interacts with core components of the U5 snRNP particle, CD2BP2 and DDX23, alters the inclusion/exclusion ratio of alternative splicing events, and changes mRNA isoform abundance of known antiviral factors. Interestingly, a genome wide transcriptome analysis, using recently developed bioinformatics tools, revealed an increase of intron retention upon dengue virus infection, and viral replication was improved by silencing specific U5 components. Different mechanistic studies indicate that binding of NS5 to the spliceosome reduces the efficiency of pre-mRNA processing, independently of NS5 enzymatic activities. We propose that NS5 binding to U5 snRNP proteins hijacks the splicing machinery resulting in a less restrictive environment for viral replication.
Overall design: A549 cells where infected with Dengue virus 2 or mock and after 24 and 36 hours post infection mRNA was purified. Then the transcriptional profile of these cells was analyzed using RNA-seq.Less...",GSE84285
Homo sapiens,PRJNA325928;,"We use MeRIP-seq and PAR-CLIP in liver cell lines to detail the role of m6A in positive strand RNA virus infection. We find that hepatitis C virus, dengue virus, West Nile virus, yellow fever virus, and Zika virus all contain m6A within their genomes, with some conservation between viruses in methylation sites.
Overall design: Study of m6A methylation in HCV, dengue, WNV, YFV, and Zika virus with two replicates using a polyA prep (m6A antibody, Synaptic Systems; 202 003). Identification of YTHDF1, YTHDF2, YTHDF3 binding sites on the HCV RNA genome using PAR-CLIPLess...",GSE83438
Homo sapiens,PRJNA318898;,"Zika virus (ZIKV) infection causes microcephaly and has been linked to other brain abnormalities. How ZIKV impairs brain development and function remains elusive. Here we systematically profiled transcriptomes of human neural progenitor cells (hNPCs) exposed to Asian ZIKVC, African ZIKVM, and Dengue virus (DENV). DENV causes distinct gene expression changes; and ZIKV has a broader impact on the expression of gene involved in DNA replication and repair. While overall expression profiles are similar, ZIKVC, but not ZIKVM, induces upregulation of viral response genes. Our analyses reveal virus- and strain-specific molecular signatures associated with ZIKV infection. Further investigation of ZIKV-host interactions based our transcriptomic datasets may help to illuminate neural virulence determinants of ZIKV in patients.
Overall design: Gene Expression Analyses of the cells infected with different flavivirusesLess...",GSE80434
Homo sapiens,PRJNA302665,No description available,
Homo sapiens,PRJNA245819,"RNA interference is an important component of innate antiviral defense in invertebrates and facilitated through production of viral-derived short interfering RNAs (siRNAs). There remains lack of evidence for siRNA production in vertebrate cells--specifically, mammalian somatic cells; however, these cells do express cellular microRNAs (miRNAs) with inhibitory function. Additionally, a number of DNA viruses express viral miRNAs with roles in the viral life cycles. Flaviviruses, such as Dengue virus (DENV4) or West Nile virus (WNV), can infect both invertebrate and mammalian cells. To examine whether these viruses express either siRNAs or viral miRNAs in infected mammalian cells, we analyzed Huh7 cells infected with DENV subtype 4 (DENV4) or with WNV strain TX-IC7. We identified a large number of cellular miRNAs; however, only 1% of the small RNAs were of viral origin and none of them exhibited characteristics of viral miRNAs or siRNAs.Less...",
Homo sapiens,PRJNA205206,"Dengue is the most prevalent mosquito-transmitted viral disease in humans, and the lack of early prognostics, vaccines and therapeutics contributes to immense disease burden. To identify patterns that could be used for sequence-based monitoring of the antibody response to dengue, we examined antibody heavy-chain gene rearrangements in longitudinal peripheral blood samples from 60 dengue patients. The sequence reads for these samples are included as part of this BioProject.Less...",
